accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.87,-0.00019999999999997797,0.8699999999999999,-0.00020000000000000017,cifar10,0.36295681176986894,1155,215,0.6370431882301311,0.3629939269816722,0.8706392736998991,margin,0,0.8698,0.8698,,1,"[0.6448, 0.35519999999999996]",5000,54,source,0.9711920395335278,same_risk,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.3684748030344194,1132,199,0.6315251969655806,0.36851089423418526,0.8716725543594016,margin,0,0.8718,0.8718,,0,"[0.6546, 0.34540000000000004]",5000,55,source,0.9711920395335278,same_risk,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.3645333807025976,1156,261,0.6354666192974023,0.36457020333953305,0.8719012337456494,margin,0,0.8716,0.8715999999999999,,0,"[0.6476, 0.35240000000000005]",5000,56,source,0.9711920395335278,same_risk,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.372866673632735,1113,213,0.6271333263672649,0.3729019498025119,0.8702221963801193,margin,0,0.87,0.8700000000000001,,0,"[0.6624, 0.3376]",5000,57,target,0.9711920395335278,same_risk,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.3721910012329941,1161,245,0.6278089987670059,0.37222640279200014,0.8705465381481405,margin,0,0.87,0.8700000000000001,,0,"[0.6612, 0.3388]",5000,58,target,0.9711920395335278,same_risk,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.34752895864245253,1301,245,0.6524710413575474,0.34756893690831947,0.8710272687835319,margin,0,0.8706,0.8705999999999999,,0,"[0.6174, 0.38260000000000005]",5000,59,target,0.9711920395335278,same_risk,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.10225987753651966,3422,215,0.8977401224634803,0.10234537209253725,0.8704341932434154,margin,0,0.8698,0.8698,0.1,0,"[0.1818, 0.8182]",5000,54,source,0.9999846342249079,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.1033859982027544,3425,199,0.8966140017972456,0.10347128377672354,0.8716725543594016,margin,0,0.8718,0.8718,0.1,0,"[0.1838, 0.8162]",5000,55,source,0.9999846342249079,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.09471486907274673,3497,261,0.9052851309272533,0.09480176380848881,0.8719012337456494,margin,0,0.8716,0.8715999999999999,0.1,0,"[0.1684, 0.8316]",5000,56,source,0.9999846342249079,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.1223048253954987,3280,213,0.8776951746045013,0.12238660007105395,0.8702221963801193,margin,0,0.87,0.8700000000000001,0.1,0,"[0.2174, 0.7826]",5000,57,target,0.9999846342249079,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.11633638586445427,3365,245,0.8836636141355457,0.11641926814486636,0.8705465381481405,margin,0,0.87,0.8700000000000001,0.1,0,"[0.2068, 0.7932]",5000,58,target,0.9999846342249079,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.08863381747507892,3553,245,0.9113661825249211,0.08872184071388267,0.8710272687835319,margin,0,0.8706,0.8705999999999999,0.1,0,"[0.1576, 0.8424]",5000,59,target,0.9999846342249079,matched_compute,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.1977549100332281,2578,215,0.8022450899667719,0.19782268291153782,0.8704341932434154,margin,0,0.8698,0.8698,0.2,0,"[0.3514, 0.6486000000000001]",5000,54,source,0.9996141190539982,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.20158372029842653,2555,199,0.7984162797015735,0.20165078263777148,0.8716725543594016,margin,0,0.8718,0.8718,0.2,0,"[0.3582, 0.6417999999999999]",5000,55,source,0.9996141190539982,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.2000071513656977,2563,261,0.7999928486343023,0.20007450627991052,0.8719012337456494,margin,0,0.8716,0.8715999999999999,0.2,0,"[0.3554, 0.6446000000000001]",5000,56,source,0.9996141190539982,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.21363321142713843,2476,213,0.7863667885728616,0.2136980376585651,0.8702221963801193,margin,0,0.87,0.8700000000000001,0.2,0,"[0.3796, 0.6204000000000001]",5000,57,target,0.9996141190539982,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.21566022862636103,2487,245,0.784339771373639,0.21572467869010048,0.8705465381481405,margin,0,0.87,0.8700000000000001,0.2,0,"[0.3832, 0.6168]",5000,58,target,0.9996141190539982,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.17388115190905096,2796,245,0.826118848090949,0.17395335520678767,0.8710272687835319,margin,0,0.8706,0.8705999999999999,0.2,0,"[0.309, 0.6910000000000001]",5000,59,target,0.9996141190539982,matched_compute,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.2994436061942279,1689,215,0.7005563938057722,0.2994925079935633,0.8704341932434154,margin,0,0.8698,0.8698,0.3,0,"[0.532, 0.46799999999999997]",5000,54,source,0.9948946244570148,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.3050742095254018,1656,199,0.6949257904745982,0.305122066414495,0.8716725543594016,margin,0,0.8718,0.8718,0.3,0,"[0.542, 0.45799999999999996]",5000,55,source,0.9948946244570148,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.2955021838624063,1734,261,0.7044978161375937,0.2955518170989112,0.8719012337456494,margin,0,0.8716,0.8715999999999999,0.3,0,"[0.525, 0.475]",5000,56,source,0.9948946244570148,matched_compute,0.0
